,title,address,price,price_m2,area_m2,rooms,floor,outdoors,parking,market,build_yr,building_type,elevator,heating_type
1039,"Nowa Inwestycja Premium, Apartament Dwupoziomowy.","Gdynia, Śródmieście",1 423 125 zł,15 400 zł/m²,"92,41",4,"Piętro
3/3",balkon,garaż/miejsce parkingowe,pierwotny,2024,apartamentowiec,tak,miejskie
1040,3 pokojowe mieszkanie na osiedlu Cadena Park,"Gdynia, Mały Kack, Parkowa",759 000 zł,10 905 zł/m²,"69,6",3,"Piętro
parter/2",taras,garaż/miejsce parkingowe,wtórny,2002,blok,nie,gazowe
1041,Mieszkanie - Gdynia Pogórze,"Gdynia, Pogórze, Rtęciowa",819 000 zł,7 313 zł/m²,112,5,"Piętro
4/4",zapytaj,zapytaj,wtórny,1995,brak,nie,miejskie
1042,Doskonała kawalerka w Redłowie,"Gdynia, Redłowo, Legionów",575 000 zł,14 059 zł/m²,"40,9",1,"Piętro
parter/6",balkon,garaż/miejsce parkingowe,wtórny,1999,blok,nie,miejskie
1043,Przytulne Mieszkanie w inwestycji Port Deco M34,"Gdynia, Oksywie, ul. Benisławskiego",Zapytaj o cenę,,"57,25",3,"Piętro
5/11",balkon,garaż/miejsce parkingowe,pierwotny,2023,brak,tak,zapytaj
1044,Willa Narutowicza M4 - 3 pokoje z ogródkiem NOWość,"Gdynia, Wzgórze Św. Maksymiliana, ul. Gabriela Narutowicza",1 087 320 zł,19 500 zł/m²,"55,76",3,"Piętro
parter/2",ogródek,garaż/miejsce parkingowe,pierwotny,2023,apartamentowiec,tak,gazowe
1045,4 pokojowe Gdynia Redłowska Kaskada,"Gdynia, Redłowo, Legionów",1 290 000 zł,13 383 zł/m²,"96,39",4,"Piętro
6/6",balkon,zapytaj,wtórny,2005,apartamentowiec,tak,miejskie
1046,Okazja: Mieszkanie z Ogródkiem !!!,"Gdynia, Kamienna Góra, Ignacego Krasickiego",1 267 000 zł,17 992 zł/m²,"70,42",3,"Piętro
parter/2","ogródek, taras",garaż/miejsce parkingowe,wtórny,2007,apartamentowiec,tak,zapytaj
1047,"Duży Ogród, Garaż, Kameralny budynek","Gdynia, Wielki Kack, Starodworcowa",1 116 698 zł,13 503 zł/m²,"82,7",3,"Piętro
parter/2","ogródek, taras",garaż/miejsce parkingowe,wtórny,2022,apartamentowiec,nie,zapytaj
1048,"3 pokoje ul.Boisko os.Nawigator, wyposażone Loggia","Gdynia, Obłuże, Boisko",750 000 zł,10 546 zł/m²,"71,12",3,"Piętro
2/4",balkon,garaż/miejsce parkingowe,wtórny,2015,apartamentowiec,tak,miejskie
1049,3 pokoje w Gdyni na Obłużu,"Gdynia, Obłuże",409 000 zł,6 817 zł/m²,60,3,"Piętro
2/4",zapytaj,garaż/miejsce parkingowe,wtórny,1970,blok,nie,miejskie
1050,"Sprzedam Mieszkanie 46,2m2","Gdynia, Dąbrowa, ul. Lukrecjowa",445 000 zł,9 632 zł/m²,"46,2",2,"Piętro
2/4",balkon,zapytaj,wtórny,2000,blok,nie,miejskie
1051,"Cadena Park, 4 pokojowe mieszkanie dla rodziny","Gdynia, Mały Kack, Parkowa",1 190 000 zł,12 474 zł/m²,"95,4",4,"Piętro
2/2","balkon, taras",garaż/miejsce parkingowe,wtórny,2002,apartamentowiec,nie,miejskie
1052,M13 - kawalerka z balkonem,"Gdynia, Leszczynki, ul. Kaspra Geskiego",305 189 zł,11 852 zł/m²,"25,75",1,"Piętro
2/3",balkon,garaż/miejsce parkingowe,pierwotny,2022,blok,tak,miejskie
1053,Mieszkanie w niskiej cenie dostępne od zaraz !!!,"Gdynia, Dąbrowa, Lukrecjowa",655 000 zł,6 550 zł/m²,100,4,"Piętro
3/4",zapytaj,zapytaj,wtórny,2000,brak,nie,zapytaj
1054,Mieszkanie - Gdynia Śródmieście,"Gdynia, Śródmieście, 10 Lutego",835 600 zł,20 000 zł/m²,"41,78",2,"Piętro
3/7",zapytaj,garaż/miejsce parkingowe,wtórny,2021,apartamentowiec,tak,miejskie
1055,Apartament Premium z widokiem na morze Sea Towers,"Gdynia, Śródmieście, A. Hryniewickiego",1 000 000 EUR,38 070 zł/m²,121,4,"Piętro
> 10/28",zapytaj,zapytaj,wtórny,brak,brak,nie,zapytaj
1056,"Nowoczesne wnętrze 2 niezależne pokoje, kuchnia, b","Gdynia, pomorskie",499 000 zł,11 881 zł/m²,42,2,"Piętro
7/10",balkon,zapytaj,wtórny,brak,blok,tak,miejskie
1057,"3 pokoje balkonem, przy lesie - Pustki cisowskie!","Gdynia, Pustki Cisowskie-Demptowo",660 000 zł,9 041 zł/m²,73,3,"Piętro
3/4",balkon,zapytaj,wtórny,1994,blok,nie,miejskie
1058,Mieszkanie - Gdynia Grabówek,"Gdynia, Grabówek",339 000 zł,8 370 zł/m²,"40,5",2,"Piętro
3/4",zapytaj,zapytaj,wtórny,1960,blok,nie,miejskie
1059,"Piękne mieszkanie trzypokojowe Gdynia, Redłowo","Gdynia, Redłowo, Legionów",865 000 zł,10 732 zł/m²,"80,6",3,"Piętro
3/5",balkon,zapytaj,wtórny,1999,blok,tak,miejskie
1060,Gdynia Redłowo piękne 3- pokojowe do wprowadzenia,"Gdynia, Redłowo",859 000 zł,13 855 zł/m²,62,3,"Piętro
3/5",balkon,zapytaj,wtórny,brak,apartamentowiec,tak,zapytaj
1061,Atrakcyjne Mieszkanie Port Deco M39,"Gdynia, Oksywie, ul. Benisławskiego",Zapytaj o cenę,,"56,7",3,"Piętro
6/11",balkon,garaż/miejsce parkingowe,pierwotny,2023,brak,tak,zapytaj
1062,Willa Narutowicza NOWość 2 pokoje,"Gdynia, Wzgórze Św. Maksymiliana, ul. Gabriela Narutowicza",689 208 zł,18 800 zł/m²,"36,66",2,"Piętro
parter/2","ogródek, taras",garaż/miejsce parkingowe,pierwotny,2023,apartamentowiec,tak,gazowe
1063,Atrakcyjne mieszkanie z niezależnym wejściem,"Witosławy, Gdynia, pomorskie",449 000 zł,10 205 zł/m²,44,2,"Piętro
2/3",balkon,garaż/miejsce parkingowe,wtórny,brak,brak,nie,zapytaj
1064,"2 pokoje, blisko Skm, parter","Gdynia, Chylonia",374 000 zł,7 640 zł/m²,"48,95",2,"Piętro
parter/4",zapytaj,garaż/miejsce parkingowe,wtórny,1980,blok,nie,miejskie
