,address,price,price_m2,area_m2,rooms,floor,parking,market,build_yr,building_type,elevator,heating_type,max_floor,balcony,backyard,terrace,building_age,district,street,log_price,log_price_m2,log_area_m2
64,"Gdynia, Obłuże, ul. Konstantego Maciejewicza",450000.0,6522.0,69.0,3.0,4.0,0,wtórny,,blok,0.0,miejskie,4.0,1,0,0,,Obłuże,,5.653212513775344,3.814380794469938,1.8388490907372552
65,"Gdynia, Śródmieście, Świętojańska",1195000.0,11849.0,100.85,4.0,1.0,0,wtórny,1936.0,kamienica,0.0,miejskie,4.0,0,0,0,86.0,Śródmieście,,6.077367905284157,4.073681699476284,2.003675902548784
66,"Gdynia, Cisowa, Kcyńska",305000.0,10297.0,29.62,1.0,0.0,0,wtórny,1970.0,blok,0.0,miejskie,4.0,0,0,0,52.0,Cisowa,,5.484299839346786,4.012710712741787,1.4715850541851896
67,"Gdynia, Grabówek",339000.0,7213.0,47.0,2.0,4.0,0,wtórny,1936.0,kamienica,0.0,gazowe,4.0,0,0,0,86.0,Grabówek,,5.5301996982030825,3.858115932190066,1.6720978579357175
68,"Gdynia, Chylonia",250000.0,9259.0,27.0,2.0,2.0,0,wtórny,1975.0,blok,0.0,miejskie,4.0,1,0,0,47.0,Chylonia,,5.3979400086720375,3.9665640840973104,1.4313637641589874
69,"Gdynia, Działki Leśne",729000.0,10610.0,68.71,3.0,3.0,0,wtórny,1933.0,kamienica,1.0,miejskie,5.0,0,0,0,89.0,Działki Leśne,,5.862727528317975,4.025715383901341,1.8370199485409084
70,"Gdynia, Witomino",368000.0,8976.0,41.0,2.0,0.0,0,wtórny,1970.0,blok,1.0,miejskie,10.0,1,0,0,52.0,Witomino,,5.565847818673518,3.953082843912086,1.6127838567197355
71,"Gdynia, Redłowo",799000.0,18159.0,44.0,2.0,2.0,1,wtórny,2010.0,apartamentowiec,1.0,miejskie,2.0,1,0,0,12.0,Redłowo,,5.902546779313991,4.259091928632214,1.6434526764861874
72,"Gdynia, Działki Leśne, Witomińska",479000.0,10346.0,46.3,3.0,4.0,0,wtórny,1963.0,blok,1.0,miejskie,10.0,1,0,0,59.0,Działki Leśne,,5.680335513414564,4.014772474073064,1.665580991017953
73,"Gdynia, Chylonia, Chylońska",409000.0,8702.0,47.0,2.0,0.0,0,wtórny,1974.0,blok,0.0,miejskie,4.0,1,0,0,48.0,Chylonia,,5.611723308007342,3.939619078956698,1.6720978579357175
74,"Gdynia, Śródmieście, Władysława IV",710000.0,20882.0,34.0,2.0,2.0,1,wtórny,2022.0,apartamentowiec,1.0,miejskie,6.0,1,0,0,0.0,Śródmieście,,5.8512583487190755,4.319772091426363,1.5314789170422551
75,"Gdynia, Wzgórze Św. Maksymiliana, Stanisława Wyspiańskiego",2300000.0,25000.0,92.0,3.0,3.0,0,wtórny,2008.0,apartamentowiec,1.0,elektryczne,4.0,1,0,0,14.0,Wzgórze Św. Maksymiliana,,6.361727836017593,4.3979400086720375,1.9637878273455553
76,"Gdynia, Wzgórze Św. Maksymiliana, Kazimierza Górskiego",545000.0,11779.0,46.27,2.0,10.0,1,wtórny,2021.0,blok,1.0,miejskie,16.0,1,0,0,1.0,Wzgórze Św. Maksymiliana,,5.7363965022766426,4.07110842178245,1.665299499499897
77,"Gdynia, Pustki Cisowskie-Demptowo, Pustki Cisowskie, ul. Chabrowa",950000.0,10106.0,94.0,4.0,3.0,1,wtórny,1994.0,kamienica,0.0,miejskie,3.0,1,0,0,28.0,Pustki Cisowskie-Demptowo,,5.977723605288848,4.004579293902212,1.9731278535996986
78,"Gdynia, Pogórze, Wiceadmirała Kazimierza Porębskiego",434000.0,7232.0,60.01,3.0,3.0,0,wtórny,1986.0,,0.0,miejskie,4.0,0,0,0,36.0,Pogórze,,5.63748972951251,3.859258417467307,1.7782236267660965
