,index,address,price,price_m2,area_m2,rooms,floor,parking,market,build_yr,building_type,elevator,heating_type,max_floor,balcony,backyard,terrace,building_age,district,street
63,65,"Gdynia, Śródmieście, Świętojańska",525000.0,15813.0,33.2,2.0,3.0,0,wtórny,1950.0,kamienica,0.0,miejskie,4.0,0,0,0,72.0,Śródmieście,
64,66,"Gdynia, Obłuże, ul. Konstantego Maciejewicza",450000.0,6522.0,69.0,3.0,4.0,0,wtórny,,blok,0.0,miejskie,4.0,1,0,0,,Obłuże,
65,67,"Gdynia, Śródmieście, Świętojańska",1195000.0,11849.0,100.85,4.0,1.0,0,wtórny,1936.0,kamienica,0.0,miejskie,4.0,0,0,0,86.0,Śródmieście,
66,68,"Gdynia, Cisowa, Kcyńska",305000.0,10297.0,29.62,1.0,0.0,0,wtórny,1970.0,blok,0.0,miejskie,4.0,0,0,0,52.0,Cisowa,
67,69,"Gdynia, Grabówek",339000.0,7213.0,47.0,2.0,4.0,0,wtórny,1936.0,kamienica,0.0,gazowe,4.0,0,0,0,86.0,Grabówek,
68,70,"Gdynia, Chylonia",250000.0,9259.0,27.0,2.0,2.0,0,wtórny,1975.0,blok,0.0,miejskie,4.0,1,0,0,47.0,Chylonia,
69,71,"Gdynia, Działki Leśne",729000.0,10610.0,68.71,3.0,3.0,0,wtórny,1933.0,kamienica,1.0,miejskie,5.0,0,0,0,89.0,Działki Leśne,
70,72,"Gdynia, Witomino",368000.0,8976.0,41.0,2.0,0.0,0,wtórny,1970.0,blok,1.0,miejskie,10.0,1,0,0,52.0,Witomino,
71,73,"Gdynia, Redłowo",799000.0,18159.0,44.0,2.0,2.0,1,wtórny,2010.0,apartamentowiec,1.0,miejskie,2.0,1,0,0,12.0,Redłowo,
72,74,"Gdynia, Działki Leśne, Witomińska",479000.0,10346.0,46.3,3.0,4.0,0,wtórny,1963.0,blok,1.0,miejskie,10.0,1,0,0,59.0,Działki Leśne,
73,75,"Gdynia, Chylonia, Chylońska",409000.0,8702.0,47.0,2.0,0.0,0,wtórny,1974.0,blok,0.0,miejskie,4.0,1,0,0,48.0,Chylonia,
74,76,"Gdynia, Śródmieście, Władysława IV",710000.0,20882.0,34.0,2.0,2.0,1,wtórny,2022.0,apartamentowiec,1.0,miejskie,6.0,1,0,0,0.0,Śródmieście,
75,77,"Gdynia, Wzgórze Św. Maksymiliana, Stanisława Wyspiańskiego",2300000.0,25000.0,92.0,3.0,3.0,0,wtórny,2008.0,apartamentowiec,1.0,elektryczne,4.0,1,0,0,14.0,Wzgórze Św. Maksymiliana,
